model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows
L11_model_36,11,2,1330,1330,L11/L11_model_36/z_checks.csv,L11/L11_model_36/x_checks.csv,1331,1331
L11_model_37,11,2,1330,1330,L11/L11_model_37/z_checks.csv,L11/L11_model_37/x_checks.csv,1331,1331
L11_model_38,11,2,1330,1330,L11/L11_model_38/z_checks.csv,L11/L11_model_38/x_checks.csv,1331,1331
L11_model_39,11,2,1330,1330,L11/L11_model_39/z_checks.csv,L11/L11_model_39/x_checks.csv,1331,1331
L11_model_40,11,2,1330,1330,L11/L11_model_40/z_checks.csv,L11/L11_model_40/x_checks.csv,1331,1331
L11_model_41,11,2,1330,1330,L11/L11_model_41/z_checks.csv,L11/L11_model_41/x_checks.csv,1331,1331
L11_model_42,11,2,1330,1330,L11/L11_model_42/z_checks.csv,L11/L11_model_42/x_checks.csv,1331,1331
L11_model_43,11,2,1330,1330,L11/L11_model_43/z_checks.csv,L11/L11_model_43/x_checks.csv,1331,1331
L11_model_44,11,2,1330,1330,L11/L11_model_44/z_checks.csv,L11/L11_model_44/x_checks.csv,1331,1331
L11_model_45,11,2,1330,1330,L11/L11_model_45/z_checks.csv,L11/L11_model_45/x_checks.csv,1331,1331
L11_model_46,11,2,1330,1330,L11/L11_model_46/z_checks.csv,L11/L11_model_46/x_checks.csv,1331,1331
L11_model_47,11,2,1330,1330,L11/L11_model_47/z_checks.csv,L11/L11_model_47/x_checks.csv,1331,1331
L11_model_48,11,2,1330,1330,L11/L11_model_48/z_checks.csv,L11/L11_model_48/x_checks.csv,1331,1331
L11_model_49,11,2,1330,1330,L11/L11_model_49/z_checks.csv,L11/L11_model_49/x_checks.csv,1331,1331
L11_model_50,11,2,1330,1330,L11/L11_model_50/z_checks.csv,L11/L11_model_50/x_checks.csv,1331,1331
L12_model_01,12,4,1726,1726,L12/L12_model_01/z_checks.csv,L12/L12_model_01/x_checks.csv,1728,1728
L12_model_02,12,4,1726,1726,L12/L12_model_02/z_checks.csv,L12/L12_model_02/x_checks.csv,1728,1728
L12_model_03,12,4,1726,1726,L12/L12_model_03/z_checks.csv,L12/L12_model_03/x_checks.csv,1728,1728
L12_model_04,12,4,1726,1726,L12/L12_model_04/z_checks.csv,L12/L12_model_04/x_checks.csv,1728,1728
L12_model_05,12,4,1726,1726,L12/L12_model_05/z_checks.csv,L12/L12_model_05/x_checks.csv,1728,1728
L12_model_06,12,4,1726,1726,L12/L12_model_06/z_checks.csv,L12/L12_model_06/x_checks.csv,1728,1728
L12_model_07,12,4,1726,1726,L12/L12_model_07/z_checks.csv,L12/L12_model_07/x_checks.csv,1728,1728
L12_model_08,12,4,1726,1726,L12/L12_model_08/z_checks.csv,L12/L12_model_08/x_checks.csv,1728,1728
